what,kind,bundleId,bundleVersion,description,time
error,log,,,"Inv[jwewsuk@gmail.com/Saros44393D25] : Sharing project was cancelled by the remote user because of an error on his/her side: Stream is closed (IncomingProjectNegotiation.java:542)",1332690640070
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332690640214
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1332690643193
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332690652281
error,log,,,"Attempting to connect to file which is not available locally: SPath [editorType=txt, path=src/mainClass.java, project=test1] (RemoteWriteAccessManager.java:154)",1332690670823
error,log,,,"Attempting to connect to file which is not available locally: SPath [editorType=txt, path=src/mainClass.java, project=test1] (RemoteWriteAccessManager.java:154)",1332690671126
error,log,,,"Attempting to connect to file which is not available locally: SPath [editorType=txt, path=src/mainClass.java, project=test1] (RemoteWriteAccessManager.java:154)",1332690671135
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332690704464
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332690707293
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1332690709078
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1332690709146
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1332690709202
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1332690709230
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1332690709284
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1332690709327
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1332690709539
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332690721687
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1332690721759
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1332690721759
activated,view,de.fu_berlin.inf.dpp,11.12.9.r3685,"de.fu_berlin.inf.dpp.ui.views.SarosView",1332690724101
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332690731798
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332690733215
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1332690733225
executed,command,de.fu_berlin.inf.dpp,11.12.9.r3685,"de.fu_berlin.inf.dpp.ui.commands.SharedProjectLeave",1332690733288
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332690739081
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1332690740310
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1332690740498
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1332690740535
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332690741180
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1332690741240
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1332690741240
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332690742487
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332690743911
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1332690743957
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1332690743957
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332690744009
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332690744045
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332690744090
